id,loss
4,1488.14426214
6,2031.64779604
9,9097.00444959
12,5945.90154044
15,810.196356966
17,2296.97947819
21,1970.04454687
28,859.559471918
32,2206.41439251
43,3203.74061528
46,2784.04114808
50,933.461139958
54,1168.13822543
62,1911.61760082
70,2203.09755464
71,4162.83569282
75,2188.286362
77,2057.32559754
81,2520.85404415
83,2409.24909374
87,1853.54963533
97,1461.97103908
103,1127.93317862
119,1148.84435392
120,1753.87469867
127,982.328079476
138,4184.92729169
141,3345.69526567
148,771.067842166
150,2560.35839926
151,2109.39522052
158,1551.3131951
160,5813.57342611
165,2505.12974356
168,4011.8515111
169,3636.54453552
177,2693.55494477
178,3193.42853389
184,1927.96314838
194,10397.6493214
198,1654.19658159
203,3744.36594296
211,2697.29050128
217,1293.77979669
219,1474.25519402
221,4302.05553609
227,1925.26854088
230,1473.89556916
235,2164.73252739
240,680.841778515
243,2866.24964294
249,7217.31721264
253,2838.9591489
258,1450.5804579
261,1613.19057907
263,3445.00295365
264,2463.06179461
265,4117.94626123
268,1787.26283349
271,1172.06823109
274,5061.28180674
275,694.846157975
279,1452.8534104
282,1577.91560495
286,3131.04871563
288,1256.21024727
294,2181.32079536
296,1012.18548446
297,1426.68411981
300,772.780420982
303,8109.75994552
314,1281.52002943
315,4595.0620063
321,2425.35961605
323,4094.11164962
330,3583.13049603
341,1931.57049391
342,3897.83823535
352,1684.06824484
353,3450.27992394
360,4736.29048255
361,2193.11588679
362,4251.44044109
366,1315.92146416
372,3843.13707804
376,2773.66032144
377,2348.32615072
379,1522.02264747
380,3827.16642576
387,1884.1015738
392,2008.38756171
394,10179.8086236
395,1621.81015137
397,1457.066267
407,6185.55894634
411,8987.38703932
416,2388.1259233
417,1462.43622137
419,3614.28907371
428,5422.9032069
431,1863.56341883
436,8182.00955942
438,1510.89318566
445,7187.59716532
446,6541.91640538
455,1275.00238344
456,1323.91180918
461,924.410031115
463,1950.13484469
464,3804.51070615
466,1631.43955689
467,1400.06505983
470,1118.33932743
475,1496.76986937
482,3201.78810698
490,3305.43747476
496,1980.49187641
497,3978.32845849
508,2890.11974384
510,1944.59330548
512,1824.57891777
513,3441.43565001
523,1786.87216953
531,4494.41680914
532,2226.53355067
533,1307.14971393
537,1103.30123556
544,4687.27048564
547,2655.92420609
556,7764.49448888
565,1261.4969256
566,1273.70188183
571,1518.05937304
573,1623.52032623
574,828.87183642
581,2007.24256525
585,2057.2420818
589,1941.72246039
597,1591.37650483
601,3639.73077511
602,1807.86041421
613,1581.5015889
616,1391.23151726
619,2290.18710402
622,2137.85243083
623,1988.25974534
629,1498.05885045
634,1535.53447272
638,924.777832598
642,1061.14655945
643,2098.62733808
645,1063.45082466
648,6270.28920489
652,1391.09277838
664,1010.39768877
666,1985.52082989
672,864.787440879
676,2021.70302182
678,3954.60571113
682,1797.4501845
686,3047.14245927
688,2140.8158009
689,1251.76457299
690,1716.51708689
692,10116.5199141
695,1618.10646861
697,3599.281393
698,2082.88559835
706,2483.24340315
708,1612.40323685
712,2525.44449953
715,4353.16338929
717,1330.36127932
725,3387.0975399
729,1170.14644638
737,1362.37317472
739,5178.87082272
747,3439.70793852
753,2585.16194262
758,2500.61540859
759,2005.9674553
763,1465.53364028
773,4004.26472751
774,2062.67822076
776,1700.43988684
788,3849.73409294
790,2551.67661397
794,1029.32266034
801,2773.91026633
802,1400.82898636
805,1255.40388239
809,5045.89766623
812,1488.25946299
825,2376.96031693
828,2287.70214398
830,1446.72870813
833,1229.32547895
850,6587.46782075
852,5674.4632677
862,1446.62343844
863,1335.5617492
864,1460.17247801
865,3331.36183654
868,6905.08810255
872,1415.19577766
879,4960.69346925
880,1427.11111354
883,1354.27530804
886,1360.56483016
923,1735.93585333
924,1567.49580677
932,1414.92731114
945,6362.25955279
947,6363.85640812
948,2001.10637345
955,2826.04992955
963,4102.15911263
979,1433.4419927
989,1383.31837362
994,2846.45171513
995,1732.71421988
998,1466.86606795
1000,3598.84819756
1018,1660.83917121
1019,1785.34230242
1028,1601.64336635
1034,1489.69859792
1038,1477.23219133
1040,1364.5597367
1042,1277.68447911
1057,6945.75128058
1058,2288.47235143
1063,1103.57047491
1066,4618.25931025
1071,4239.83713634
1073,4426.29464688
1074,2976.31917291
1077,2692.23255588
1080,9455.55488925
1088,895.184473581
1096,837.310310445
1097,11632.3843884
1105,5643.74861557
1115,1799.03574002
1116,2680.79013853
1122,2102.15609296
1130,5049.69289393
1133,1127.96710732
1137,1782.8023303
1140,1992.71133849
1143,7242.13871858
1149,5399.247036
1150,898.793122754
1153,749.730168008
1157,735.307022054
1180,650.735566053
1183,848.877474394
1188,1579.77989544
1193,1078.07293608
1200,749.8189204
1209,3718.56214679
1214,1969.381787
1219,2085.66615981
1223,5615.05685536
1227,850.4132579
1228,1432.19493321
1229,4683.29261921
1233,1164.84601389
1238,6500.27666282
1239,1911.17506224
1241,3410.09623447
1243,1745.24522206
1244,1209.64653884
1245,3440.29951373
1277,3892.21582801
1279,3194.0841869
1292,11562.6822874
1293,1390.73870904
1299,8159.98034833
1304,3054.00812903
1313,3749.20389241
1328,2076.05538444
1330,878.619631434
1334,1561.77981538
1335,1246.29762611
1336,5938.31084937
1341,1013.62925152
1344,1017.87087344
1351,966.661326262
1352,2808.16070535
1354,1486.04344693
1368,4340.4444301
1373,1551.76314653
1375,725.761516297
1381,1794.71740605
1384,4219.82450594
1385,4083.74969786
1388,5785.85117832
1401,5491.12252371
1402,2293.62707043
1404,1520.30807381
1406,1331.43050371
1409,1026.27326803
1422,1470.95585418
1429,3596.74932934
1433,5531.63892767
1438,1056.84289772
1444,1246.03348084
1446,1225.02566362
1450,1092.50221724
1451,762.828182607
1454,1805.09653261
1458,2322.16902168
1461,3174.87612753
1464,5968.10851227
1465,1046.97016641
1478,2129.00854996
1479,1632.71859607
1480,2317.5950011
1484,2337.99724199
1486,1061.4675159
1488,819.032815762
1489,3364.54381785
1491,1104.68655011
1507,2025.32335735
1515,2049.52890003
1519,2732.32625915
1528,1657.13810856
1529,996.700047282
1530,2818.70570045
1532,1133.68762305
1541,1631.02417033
1542,3156.27947303
1547,1371.46947835
1549,1209.13823646
1553,2292.15542832
1554,2522.37329115
1555,1344.79966718
1559,1484.4302572
1565,1371.38370396
1568,1155.00892499
1576,3005.39668559
1579,938.299129941
1592,941.449528144
1596,3300.99451132
1605,940.076851907
1607,1594.5763852
1612,2087.92927013
1617,2821.23928613
1619,2161.07135038
1620,7902.17120698
1624,2339.07190084
1627,1324.7687141
1633,1771.07842165
1636,1170.76095389
1639,1102.60395729
1640,4416.42052784
1644,1049.8573748
1646,1373.63106274
1647,2318.85817402
