id,loss
4,1465.43408203
6,2065.68652344
9,9364.52539062
12,6043.11328125
15,829.828796387
17,2312.34814453
21,2091.71899414
28,847.176391602
32,2258.19775391
43,3179.80908203
46,2853.39013672
50,964.154785156
54,1190.11743164
62,1937.79907227
70,2215.74926758
71,4444.86767578
75,2192.75952148
77,2103.27075195
81,2448.94677734
83,2365.80175781
87,1866.29223633
97,1445.80993652
103,1168.26391602
119,1126.30664062
120,1710.01586914
127,993.24005127
138,4060.35302734
141,3158.04052734
148,760.252563477
150,2532.74951172
151,2099.015625
158,1551.53405762
160,6056.83544922
165,2517.63623047
168,3940.59814453
169,3605.21337891
177,2758.05908203
178,3100.20947266
184,1921.42944336
194,9948.484375
198,1625.67236328
203,3783.42895508
211,2703.69921875
217,1296.1796875
219,1497.18225098
221,4203.15966797
227,1838.2220459
230,1462.84899902
235,2163.26513672
240,674.98651123
243,2833.76904297
249,7054.68505859
253,2772.83642578
258,1435.71020508
261,1666.99536133
263,3399.92431641
264,2426.40283203
265,4144.43554688
268,1803.140625
271,1178.89685059
274,5179.61669922
275,692.485473633
279,1446.87915039
282,1530.82177734
286,3080.8671875
288,1226.84887695
294,2257.49023438
296,1020.40020752
297,1482.88513184
300,774.909973145
303,8051.55224609
314,1247.24829102
315,4570.63232422
321,2399.69555664
323,4008.44775391
330,3751.6809082
341,1922.31188965
342,3925.24365234
352,1689.55407715
353,3613.0793457
360,4736.02050781
361,2229.66772461
362,4404.67626953
366,1300.58752441
372,3519.2175293
376,2761.98779297
377,2387.63134766
379,1513.58190918
380,3962.94018555
387,1898.15209961
392,2007.48730469
394,10113.3701172
395,1656.20080566
397,1415.47363281
407,6366.08837891
411,9335.63476562
416,2379.51269531
417,1417.78125
419,3749.32421875
428,5310.15429688
431,1866.07836914
436,8152.94384766
438,1509.51147461
445,7076.39599609
446,6486.67871094
455,1275.51171875
456,1339.73669434
461,927.961120605
463,1947.140625
464,3741.16601562
466,1615.65551758
467,1412.76599121
470,1154.8092041
475,1481.61853027
482,3020.13793945
490,3410.29052734
496,2007.26953125
497,4044.58911133
508,2886.81958008
510,1833.83666992
512,1755.02893066
513,3620.18481445
523,1753.97424316
531,4424.56542969
532,2122.86181641
533,1294.87841797
537,1096.12670898
544,4730.28417969
547,2727.13916016
556,7631.84765625
565,1271.16210938
566,1274.08349609
